Migration_Vector,MXS,MYS,MXE,MYE,Leading,LXN,LYN,LXG,LYG,Trailing,TXN,TYN,TXG,TYG
1,1.67,0.22,0.92,0.22,7,0.651,2.925,0.612,3.021,1,2.668,3.321,2.521,3.283
2,,,,,13,1.145,2.748,1.07,2.873,3,1.614,3.131,1.523,3.224
3,,,,,19,1.32,2.474,1.23,2.423,6,2.829,3.013,2.679,3.002
,,,,,23,0.819,2.188,0.742,2.239,8,1.802,2.913,1.797,2.806
,,,,,35,1.038,1.698,1.005,1.611,9,2.295,2.924,2.221,2.955
,,,,,37,0.409,1.627,0.394,1.548,11,1.499,2.799,1.364,2.87
,,,,,38,1.273,1.572,1.192,1.568,12,3.197,2.674,3.043,2.626
,,,,,45,1.517,1.226,1.568,1.086,14,2.359,2.719,2.43,2.718
,,,,,50,1.257,0.805,1.194,0.733,16,1.689,2.624,1.593,2.663
,,,,,53,1.661,0.428,1.574,0.403,18,2.792,2.459,2.844,2.295
,,,,,57,1.863,0.15,1.912,0.07,21,3.082,2.413,3.002,2.378
,,,,,,,,,,22,1.951,2.295,1.87,2.376
,,,,,,,,,,24,2.191,2.203,2.104,2.214
,,,,,,,,,,25,2.31,2.071,2.327,1.951
,,,,,,,,,,27,1.785,2.08,1.773,2.172
,,,,,,,,,,28,2.046,2.054,1.99,2.119
,,,,,,,,,,30,1.484,1.874,1.379,1.938
,,,,,,,,,,31,2.218,1.796,2.301,1.796
,,,,,,,,,,32,2.728,1.804,2.762,1.729
,,,,,,,,,,33,2.008,1.801,1.96,1.738
,,,,,,,,,,34,1.782,1.803,1.8,1.644
,,,,,,,,,,36,1.524,1.636,1.571,1.753
,,,,,,,,,,40,2.382,1.518,2.398,1.446
,,,,,,,,,,41,1.943,1.409,1.885,1.269
,,,,,,,,,,43,1.637,1.394,1.515,1.433
,,,,,,,,,,54,1.88,0.344,1.955,0.272
,,,,,,,,,,48,1.846,1.065,1.766,1.093
